Status,Endereço,Bairro_Cidade,Quartos,Area,Garagem,Construtora,Bairro_Cidade ,Bairro,Valor_m2,Num_Dorms,Num_Dorms_Suites,Entrega,Dados,Título,Metragem,Vagas
Pronto para morar,,,,,,Patriani,Santo André - Campestre,,181,,None 2 suítes,em Junho / 21,181m²2 suítes (com opção de 3 suítes)4 vagas determinadasEntregue em Junho / 21,,,
Em construção,,,,,,Patriani,Campinas - Norte-Sul,,105,,None 3 suítes,em Dezembro / 24,105m²3 suítes ou opção com 2 suítes2 vagas grandes e determinadasEntrega em Dezembro / 24,,,
Em construção,,,,,,Patriani,Santo André - Vila Bastos,,113 e 117,,None 3 suítes,em Junho / 24,113 e 117m²3 suítes e lavabo2 vagas determinadasEntrega em Junho / 24,,,
Pronto para morar,,,,,,Patriani,Santo André - Vila Assunção,,154,,None 3 suítes,em Outubro / 22,154m² e 164m²3 suítes e lavabo3 vagas (uma vaga box)Entregue em Outubro / 22,,,
Pronto para morar,,,,,,Patriani,Campinas - Vila Industrial,,75,,None 2 suítes,em Julho / 20,75m²2 suítes e lavabo2 vagas determinadasEntregue em Julho / 20,,,
Pronto para morar,,,,,,Patriani,Santo André - Campestre,,78,,None 2 suítes,em Maio / 17,78m²2 suítes e lavabo2 vagas determinadasEntregue em Maio / 17,,,
Pronto para morar,,,,,,Patriani,Santo André - Jardim,,190,,None 3 suítes,em Novembro / 23,190m²2 e 3 suítes ou 4 dorms3 ou 4 vagasEntrega em Novembro / 23,,,
Pronto para morar,,,,,,Patriani,Santo André - ST. Terezinha,,80,3 dorms,3 dorms None,em Novembro / 16,80m²3 dorms (com 1 suíte)2 ou 3 vagas determinadasEntregue em Novembro / 16,,,
Pronto para morar,,,,,,Patriani,Santo André - Vila Assunção,,73,2 dorms,2 dorms None,em Abril / 18,73m²2 dorms (com 1 suíte)2 vagas determinadasEntregue em Abril / 18,,,
Breve Lançamento,,,,,,Patriani,São Bernardo do Campo - Nova Petrópolis,,162 e 202,,None 4 suítes,,162 e 202m²3 e 4 suítes3 e 4 vagasLançamento em Março / 24,,,
Em construção,,,,,,Patriani,São José dos Campos - VL Ema,,120,,None 3 suítes,em Agosto / 24,120m²3 suítes ou opção com 2 suítes2 vagas determinadasEntrega em Agosto / 24,,,
Pronto,,,,,,Patriani,Atibaia - Alvinópolis,,43,,None None,em Maio / 19,A partir de 43m²Salas comerciais1 vagaEntregue em Maio / 19,,,
Em construção,,,,,,Patriani,Campinas - CENTRO,,46,,None 1 suítes,em Maio / 25,46m²Studio com 1 suíte1 vaga determinadaEntrega em Maio / 25,,,
Pronto para morar,,,,,,Patriani,Campinas - Bosque,,54,,None None,em Agosto / 20,43 a 54m²Studio1 vaga determinadaEntregue em Agosto / 20,,,
Pronto para morar,,,,,,Patriani,Campinas - Vila Industrial,,82,3 dorms,3 dorms None,em Julho / 17,82m²3 dorms com 2 suítes2 e 3 vagas determinadasEntregue em Julho / 17,,,
Pronto para morar,,,,,,Patriani,Santo André - Vila Scarpelli,,83,,None 2 suítes,em Maio / 19,83m²2 suítes e lavabo2 vagas determinadasEntregue em Maio / 19,,,
Pronto para morar,,,,,,Patriani,Sorocaba - Campolim,,50 e 52,,None 1 suítes,em Novembro / 16,50 e 52m²1 suíte2 vagas determinadasEntregue em Novembro / 16,,,
Pronto,,,,,,Patriani,São Paulo - Tatuapé,,52 e 66,2 dorms,2 dorms None,em Maio / 23,"36, 52 e 66m²1 e 2 dorms e studiosAté 2 vagasEntregue em Maio / 23",,,
Pronto para morar,,,,,,Patriani,São Caetano - Santo Antônio,,86,,None 2 suítes,em Dezembro / 22,82 a 86m²2 suítes e lavabo2 vagas (uma vaga box)Entregue em Dezembro / 22,,,
Em construção,,,,,,Patriani,Campinas - Guanabara,,80,,None 2 suítes,em Abril / 24,80m²2 suítes mais lavabo2 vagas determinadasEntrega em Abril / 24,,,
Pronto para morar,,,,,,Patriani,Campinas - Jardim Paulicéia,,51,2 dorms,2 dorms None,em Dezembro / 14,51m²2 dorms1 ou 2 vagas determinadasEntregue em Dezembro / 14,,,
Pronto para morar,,,,,,Patriani,São Caetano - Santa Maria,,65,2 dorms,2 dorms None,em Dezembro / 17,64 a 65m²2 dorms com 1 suíte2 vagas determinadasEntregue em Dezembro / 17,,,
Pronto,,,,,,Patriani,Santo André - Vila Assunção,,135,,None 3 suítes,em Agosto / 23,135m²3 suítes e lavabo2 vagas grandes e determinadasEntregue em Agosto / 23,,,
Em construção,,,,,,Patriani,São Bernardo do Campo - Jardim do Mar,,117 e 137,,None 3 suítes,em Abril / 25,117 e 137m²3 suítes ou opção com 2 suítes2 ou 3 vagas demarcadasEntrega em Abril / 25,,,
Pronto para morar,,,,,,Patriani,Campinas - Taquaral,,115,,None 3 suítes,em Janeiro / 23,83 a 115m²2 e 3 suítes2 e 3 vagas determinadasEntregue em Janeiro / 23,,,
Em construção,,,,,,Patriani,Santo André - Campestre,,79 e 93,,None 2 suítes,em Setembro / 24,79 e 93m²2 suítes ou 3 dorms (com 2 suítes)2 vagas determinadasEntrega em Setembro / 24,,,
Pronto para morar,,,,,,Patriani,Santo André - Vila Bastos,,76,,None 2 suítes,em Agosto / 17,76m²2 suítes e lavabo2 vagas determinadasEntregue em Agosto / 17,,,
Pronto para morar,,,,,,Patriani,Santo André - Campestre,,88,3 dorms,3 dorms None,em Março / 15,88m²3 dorms (com 1 suíte)2 vagas determinadasEntregue em Março / 15,,,
Pronto para morar,,,,,,Patriani,São Caetano - Santa Maria,,86,3 dorms,3 dorms None,em Dezembro / 13,86m²3 dorms (com 1 suíte)2 vagas determinadasEntregue em Dezembro / 13,,,
Pronto para morar,,,,,,Patriani,São Bernardo do Campo - Baeta Neves,,78 e 96,3 dorms,3 dorms None,em Dezembro / 21,78 e 96m²2 ou 3 dorms (com 1 ou 2 suítes)2 vagas determinadasEntregue em Dezembro / 21,,,
Em construção,,,,,,Patriani,Campinas - Cambuí,,163 e 189,,None 4 suítes,em Setembro / 25,"163 e 189m²3 ou 4 suítes, sendo uma de serviço mais lavabo3 vagas determinadasEntrega em Setembro / 25",,,
Em construção,,,,,,Patriani,São José dos Campos - Vila Ema,,87,,None 2 suítes,em Agosto / 25,87m²2 suítes e lavabo2 vagas determinadasEntrega em Agosto / 25,,,
